Lat:;13.268333155;lon:;102.970556354;mm/month
datetime;year;month;day;data
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;24.0
1981-03-01 00:00:00;1981;3;1;8.0
1981-04-01 00:00:00;1981;4;1;89.0
1981-05-01 00:00:00;1981;5;1;0.0
1981-06-01 00:00:00;1981;6;1;170.0
1981-07-01 00:00:00;1981;7;1;183.0
1981-08-01 00:00:00;1981;8;1;132.0
1981-09-01 00:00:00;1981;9;1;389.0
1981-10-01 00:00:00;1981;10;1;130.0
1981-11-01 00:00:00;1981;11;1;182.0
1981-12-01 00:00:00;1981;12;1;6.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;0.0
1982-04-01 00:00:00;1982;4;1;51.0
1982-05-01 00:00:00;1982;5;1;89.0
1982-06-01 00:00:00;1982;6;1;210.0
1982-07-01 00:00:00;1982;7;1;191.0
1982-08-01 00:00:00;1982;8;1;300.0
1982-09-01 00:00:00;1982;9;1;-299970.0
1982-10-01 00:00:00;1982;10;1;163.0
1982-11-01 00:00:00;1982;11;1;98.0
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;2.0
1983-04-01 00:00:00;1983;4;1;0.0
1983-05-01 00:00:00;1983;5;1;18.0
1983-06-01 00:00:00;1983;6;1;373.0
1983-07-01 00:00:00;1983;7;1;74.0
1983-08-01 00:00:00;1983;8;1;251.0
1983-09-01 00:00:00;1983;9;1;324.0
1983-10-01 00:00:00;1983;10;1;327.0
1983-11-01 00:00:00;1983;11;1;0.0
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;0.0
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;36.0
1984-05-01 00:00:00;1984;5;1;170.0
1984-06-01 00:00:00;1984;6;1;138.0
1984-07-01 00:00:00;1984;7;1;220.0
1984-08-01 00:00:00;1984;8;1;407.0
1984-09-01 00:00:00;1984;9;1;-299970.0
1984-10-01 00:00:00;1984;10;1;160.0
1984-11-01 00:00:00;1984;11;1;0.0
1984-12-01 00:00:00;1984;12;1;0.0
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;13.0
1985-04-01 00:00:00;1985;4;1;75.0
1985-05-01 00:00:00;1985;5;1;207.0
1985-06-01 00:00:00;1985;6;1;227.0
1985-07-01 00:00:00;1985;7;1;130.0
1985-08-01 00:00:00;1985;8;1;99.0
1985-09-01 00:00:00;1985;9;1;292.0
1985-10-01 00:00:00;1985;10;1;84.0
1985-11-01 00:00:00;1985;11;1;56.0
1985-12-01 00:00:00;1985;12;1;10.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;101.0
1986-06-01 00:00:00;1986;6;1;177.0
1986-07-01 00:00:00;1986;7;1;93.0
1986-08-01 00:00:00;1986;8;1;400.0
1986-09-01 00:00:00;1986;9;1;207.0
1986-10-01 00:00:00;1986;10;1;127.0
1986-11-01 00:00:00;1986;11;1;14.0
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;18.0
1987-04-01 00:00:00;1987;4;1;61.0
1987-05-01 00:00:00;1987;5;1;139.0
1987-06-01 00:00:00;1987;6;1;103.0
1987-07-01 00:00:00;1987;7;1;131.0
1987-08-01 00:00:00;1987;8;1;138.0
1987-09-01 00:00:00;1987;9;1;312.0
1987-10-01 00:00:00;1987;10;1;177.0
1987-11-01 00:00:00;1987;11;1;119.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;16.8
1988-04-01 00:00:00;1988;4;1;191.67
1988-05-01 00:00:00;1988;5;1;91.72
1988-06-01 00:00:00;1988;6;1;0.0
1988-07-01 00:00:00;1988;7;1;147.29
1988-08-01 00:00:00;1988;8;1;137.58
1988-09-01 00:00:00;1988;9;1;167.63
1988-10-01 00:00:00;1988;10;1;301.11
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.29
1989-01-01 00:00:00;1989;1;1;1.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;1.0
1989-04-01 00:00:00;1989;4;1;45.0
1989-05-01 00:00:00;1989;5;1;205.0
1989-06-01 00:00:00;1989;6;1;172.0
1989-07-01 00:00:00;1989;7;1;237.0
1989-08-01 00:00:00;1989;8;1;256.0
1989-09-01 00:00:00;1989;9;1;285.0
1989-10-01 00:00:00;1989;10;1;238.0
1989-11-01 00:00:00;1989;11;1;82.0
1989-12-01 00:00:00;1989;12;1;8.0
1990-01-01 00:00:00;1990;1;1;15.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;29.0
1990-04-01 00:00:00;1990;4;1;118.0
1990-05-01 00:00:00;1990;5;1;111.0
1990-06-01 00:00:00;1990;6;1;322.0
1990-07-01 00:00:00;1990;7;1;66.0
1990-08-01 00:00:00;1990;8;1;95.0
1990-09-01 00:00:00;1990;9;1;308.0
1990-10-01 00:00:00;1990;10;1;187.0
1990-11-01 00:00:00;1990;11;1;49.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;50.0
1991-04-01 00:00:00;1991;4;1;71.0
1991-05-01 00:00:00;1991;5;1;50.0
1991-06-01 00:00:00;1991;6;1;250.0
1991-07-01 00:00:00;1991;7;1;243.0
1991-08-01 00:00:00;1991;8;1;307.0
1991-09-01 00:00:00;1991;9;1;429.0
1991-10-01 00:00:00;1991;10;1;253.0
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;3.0
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;4.0
1992-05-01 00:00:00;1992;5;1;58.0
1992-06-01 00:00:00;1992;6;1;161.0
1992-07-01 00:00:00;1992;7;1;196.0
1992-08-01 00:00:00;1992;8;1;358.0
1992-09-01 00:00:00;1992;9;1;122.0
1992-10-01 00:00:00;1992;10;1;177.0
1992-11-01 00:00:00;1992;11;1;10.0
1992-12-01 00:00:00;1992;12;1;17.0
1993-01-01 00:00:00;1993;1;1;4.0
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;17.0
1993-04-01 00:00:00;1993;4;1;30.0
1993-05-01 00:00:00;1993;5;1;45.0
1993-06-01 00:00:00;1993;6;1;340.0
1993-07-01 00:00:00;1993;7;1;173.0
1993-08-01 00:00:00;1993;8;1;202.0
1993-09-01 00:00:00;1993;9;1;248.0
1993-10-01 00:00:00;1993;10;1;218.0
1993-11-01 00:00:00;1993;11;1;12.0
1993-12-01 00:00:00;1993;12;1;15.0
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;1.0
1994-03-01 00:00:00;1994;3;1;4.0
1994-04-01 00:00:00;1994;4;1;9.0
1994-05-01 00:00:00;1994;5;1;103.0
1994-06-01 00:00:00;1994;6;1;239.0
1994-07-01 00:00:00;1994;7;1;181.0
1994-08-01 00:00:00;1994;8;1;258.0
1994-09-01 00:00:00;1994;9;1;282.0
1994-10-01 00:00:00;1994;10;1;34.0
1994-11-01 00:00:00;1994;11;1;8.0
1994-12-01 00:00:00;1994;12;1;1.0
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;22.0
1995-04-01 00:00:00;1995;4;1;29.0
1995-05-01 00:00:00;1995;5;1;177.0
1995-06-01 00:00:00;1995;6;1;221.0
1995-07-01 00:00:00;1995;7;1;242.0
1995-08-01 00:00:00;1995;8;1;230.0
1995-09-01 00:00:00;1995;9;1;513.0
